"pagina","texto","error"
11,"12 RONDAYES MALLORQUINES

— No res, (digué torcant-se), jaguem una mica,
p sa panxada toaró.

S' ajèu, p des cap d' una estona cop en sech ja
està axicat, p se péga un esclafit es mitx des
front,

—3jRe cent mil carretades de carretons de dimo-
nis bopetsl digué cridant com un loco p fent uns
bots fora mida, jRe cent mil quèrns de guimesi
Jo que no me'n era temut, p en lo que m'ha suc-
ceit avuy, tench s'endevinapa composta per dir a
sa lia del repl... jCoca mata Baulos, Baulos mata
dos, los dos maten altres dos: me'n aní per un ca-
mí, vatx tirar al qui vepa, vatx matar el que no
vepa, P m'en vatx menjar sèt que no eren nats..,
Messions gòs a qualsevol, que no n' hi han dita
cap, a sa fia del rep, d'endevinapa com aquesta,
Me pareix que no la se treurà tossint, Y que, per
bé que s' espols, no la S' arruxarà a n' aquesta
mosca, Sobre tot, im"" engana que sia jo es xerog:
me sembla que serà ellal £Quin possible es que 'n —
trega aguper d' aquest cap de fil tan envitricollat2
Coca mata Baulos, Baulos mata dos, los dos ma-
ten altres dos, me'n aní per un camí, vatx tirar al
qui vepa, vatx matar el qui no veya, me'n vatx
menjar sèt que no eren natsl... No res, ja té, va
dit en Trompa... P tenía sa cama de s'ase, però jo

Ú confip d'arribar a tenir un"" altra cosa més preni-
dora: sa mú de sa fia del rep.

En Pere, més xalest qu'una fadrina que li par-
",NA
12,"EN PERE TÒRT 13
len de casar, s'ajassa baix d'aquella penya, hi va
fer la nit, ç lo 'ndemà ben dematí se posa ses
cames en es coll, p de d'allà cap a cà 'l repl
Camina caminarós, hep arriba demunt les onze,
p troba un parep de criats a sa carrera, pÇ los es-
comet sense més revolteries:
—jVench per dir una endevinapça a la Prin-
cesal l
—Germóú, digueren es criats, com el véren tot l
polsós, tòrt p mitx afortunat: £Y que no sabeu a ne ús
que vos esposau2
—A esser genre del Rep, respòn ell, sortint
com un pinyol de cirera.
—Y també a romandre xerop de ses dues
Orepes.
—I Ell no 'n deu xeropar cap que no hi sigal
—Es ben segur. l
—lIdò dexau estar s'ansia per mi. Voltros avi-
sau sa fia del rep, que aposta vos ténen aquí, per
fer ses fepnes que's presenten, p no'us afiqueu
allà ont no vos demanen, si no hi voleu esser de-
més. :
Es criats baxaren bandera, Ç van a dir a n'el
rep lo que passa,
—Digauli qu'entr"" (va dir el rey).
En Pere entra, p li fa sa cortesia,
— $Se conté veritat que vols dir una endevi-
napa a sa meua fia2
—Sí, senyor, p de tant que'n fris, m'escapa.
",NA
13,"14 RONDAYES MALLORQUINES

El rep el se mira de dalt a baix, p li va fer
mals averanps.

—Tòrt p mitx afortunat, (va dir entre sí me-
teix), ifiauvos-ne que no se'n trega qualcuna que'l
dimoni que l'endevinl jiNo mos ne manearia al-
tral Però no hi ha remep, paraula de rep no pot
mentir.

Crida sa fia, li diu lo que passa, Q, si poch
havien agradat ses ombres d'en Pere a n'el rep,
manco agradaren a la Princesa.

Féren venir es criats amb ses tisores, p s'en-
tregaren ben pèus alts, perque'n tenien unes ga-
nes rabioses de ses orepes d'en Pere, veentlo tant
desentreit p falaguer de llengo.

—jHala, amollalí, tant que'n frissest (s'escla-
mé'l rep, malambrós).

—Ja li amollaré ja, (respon en Pere), p aviat.
Vetlataquí, sa meua endevinapa: —Coca mata Bau-
los, Baulos mata dos, los dos maten altres dos,
me'n aní per camí, vatx tirar al qui vepa, vatx
matar el qui no vepa, P me'n vatx calar sèt que
no eren nats, I

Sa lia del rep vos assegur que la s'escoltó bé
a s'endevinapa, P que hi pos tots es cinch sentits,
p més que n'hagués tenguts, per afinarlí sa lli-
vanya p aglapiria, perque s'estampa d'en Pere li
agradava tan poch com a un gat sa ceba crua.
Però ell no hi va haver dona, no va esser capés
de ferlí res,
",NA
14,"EN PERE TÒRT I5

Veentse més embuyada qu'un escaravat entre
borres, p per veure si mentres tant trobaria por-
tell o forat, digué, des cap d'una bona estona:

—Veypam, torna-la dir, que me som distreta un y
poch com la m'has dita, pY me son fuptes un parep :
de paraules.

-—No res, respòn en Pere, ja la tornaré dir, .
no'm costarà gapre, però qu'escolt bé, per amor
de Deu, P qu'estiga amb mi V no amb sa paret.

Sa meua endevinaya es aquesta:—Coca mata Bau- I
los, Baula mata dos, los dos maten altres dos:

me'n aní per un camí, vatx tirar al qui vepa, vatx

matar el qui no vepa, P me'n vatx calar sèt que 4
no eren nats. i

Y ja tornàrem tenir sa fia del rep capficada p i
pensa qui pensa: un cop ficsava'ls ups en terra, un
Cop a ses bigues. Allà li haurieu vist terlí fer fep-
na a n'aquell cap séu, P lo meteix d'un cà afame-
gat que li tiren un òs, P s'hi aborda amb ses bar-
res, p li clava ses dents, p les se fa croxir amb
ses estretes que li pega, si veu que no li pot en-
trar ni esbrellario, Ç el tira, P el torna pendre, PQ
el torna tirar, Y arriba a estar rabiós de tot, que
se tornaria a un puat, lo meteix li succeí a sa fia i
del rep amb s'endevinapa d'en Pere, Bé n'hi donú
de voltes, bé la se mirà a sen endret p a sen re-
vés, per demunt p per devall, per devant, per der-
rera p p'es costats: en lloch li afinó llivanya ni li
pogué veure jens es demble, Bé s'hi va rompre
",NA
15,"16 RONDAYES MALLORQUINES l
ses banpes: no la pogué desllatigar, ni va sebre
per hont hep anaven.

La dona suava a les totes, son pare p sa mare
tenien calfrets, tots es de la cort estaven astorats:
en Pere es més xalest del mon, rientse de la feta
p dient amb Sos ups, si no amb sa boca:

—jAp pdòl jidauli terra a n'aquest cepl jAra'u
veurem qui serà's xeropl

Des cap d'una bona estona, digué amb to de
fisconada:

—Sobre tot, ell la puch tornar dir, si no l'ha
entesa bé: p si amb ses dues enfuptes que li Ha
pegades no la s'ha poguda fer seua, per ventura
amb sa tercera la s'hi faré.

i La princesa no obrí boca. El rep, per allò que
no se pogués dir que no hu havien provat tot, va
respondre per ella:

— No res, torna-la a dir, Si no t'ha de sebre
greu.

—iA mi greu2 (respon en Pere) n'estich
ben lluny. Vaja, pdò, qu'escolt bé, qu'espedesca,
P no tenga pus sa porfessó entretenguda.

Tornú dir s'endevinaya. Se fia del rep ja no
cernia de son cedús, es cap li bronia, no hi vepa
de cap bolla, va acabar es menuts de tot, tornà
més blanca que la paret, torcé's coll, capgué de
baticor...

La se'n varen haver de dur, just morta, dins un
llit, y se crepen que passava.
",NA
16,"EN PERE TÒRT 17 :
A forsa de banyarli es polsos d'apgordent p de
ventarla, l'arribaren a retornar. — I
El rep, com prou va haver sucats ets aps amb Es i
sos de la Cort, per desterse d'aquells trumfos, l
agafa dos criats, p los diu: l
— Menauvosne en Pere a passetjar, mostrauli /
totes ses coses més de veure, veam Si, Xarrant l
Xarrant, li arrebassau encara que no més sia mitja l
paraula, d'hont puga pendre punts sa meua fieta l
per desllatigar aquest dimoni d'endevinapa, que l
mos té a ses tres pedretes.
Es criats se'n hi van, p li diuen: l
—jHomo, Pere, anem a passetjar una mica p i
mos estirarem ses cames, que sempre es bol
—Jo les teneh estirades demés, (respòn s'es-
tornell). Tant hep tengués es gavatx, que tot son
rues, de bupt que'l duch. Voltros abordaume un
plat d'arròs, maldement no sia engrogat, p un
tassò d'un forch de vi, dexaume fer amb ells una
estoneta, v llavò ja mos passetjarem tot quant
voldreu.
Es criats li aborden un plat gran d'arròs p un
tassò de vi d'un forch: amb quatre grapades ja los
hagué esbessonats, P, torcantse, diu: D
—jAra passetjem-mos tot quant volgueul
Y ja foren partits, volta qui volta carrers: P
el menaren per devant ses botigues millors, per
alló ont hi havia més bon casals, per ses iglesies
més grans p més adornades, per tots"" quants de
",NA
17,"18 RONDAYES MALLORQUINES

passeps p jardins saberen: le hi mostraren tot, Y,
com se crepen veure'l més descupdat, bé prova-
ren per tots es vents p capres de ferli sa garango-
la p sa traveta, ab mil preguntes lo més afuades p
trapdores, però en Pere no se dexú acostar d'un
quart llunp, p sempre sortia a un altre tancat, com
li demanaven de s'endevinaya. No li pogueren fer
sanch, tot va esser rentar es cap a s'ase, perdre's
temps p es llexiu. Y es que ja 'u diu s'adagi: esi
sa bistia no va de beure, no hi ha que siular.2

Veent que 's siular era per demés, cansats p
morts, p amb so cap que los fepa rum-rum, se'n
hagueren de tornar a cà 'Í rep.

— Senpor rep, (digueren) ell no li hem pogu-
da treure mitja parauleta qu'es mitja parauleta.
Com li demanavem d'Andratx, mos sortia a Cap-
depera. iNo hauria d'esser tòrtI

— jja serú una bona passada aquestal depa 'l
rep, remenant es cap, Ç amb més ganes de pegar
que d'altra cosa. /No hi ha remepl jLa mos fara
aquest diantre d'homol jPobra fieta meual

Com va haver cridat p aspergiat una bona es-
fona, agafa 's metexos criats, p los diu:

—No res, anit menaulovosne a jèure amb vol-
tros, a veure si en estar mitx condormit o ador-
mit de tot, a forsa de ponpirlo, n'hi arrebassau
cap, de mitja parauleta, que puga donar jens de
llum o fum a sa meua fia, per sortir des mitx des
fanch. .
",NA
18,"l x
EN PERE TÒRT 19 é
—Bè, no tenga ansia, (digueren ells), farem l
tot quant sabrem. I
Agafen en Pere p li diuen:
—3Hala, si sopaml
—ijSopem (respòn ell).
Se posen en taula, p hala, enforna qui enfor- 3
na, P allé li abocaven vi per llarch. i
—jBeu, Perel li depen, jara que hi étsi
Lo que cercaven era engatarlo, però ell, sem- I
pre responia: si
—iCompés çp viurúsi S'ase p tot e-hu coneix I
com li basta, £V noltros no hu conexerem2
Ell no foren capasses d'aficarle-hi a.n'es gat l
dins s'esquena, g no es que no tessen tots es pos- i
sibles.
Se'n van a jeure, el se posen a's mitx, Q un l
Cop un, un cop s'altre, no s'aturaven de ponpirlo l
y de dirli: da
—jPerò, Perel sper que no la m'has d'espli-
car a s'endevinapa, ara que som tots sols2. qEs- É
plicalem, petit, a s'orepal iVaja, ara que ningú
mos sentl jAra que s'altre s'es adormitl i
—La nit es per. dormir, el dia per trebapar, i
depa en Pere, p se girava de s'altre costat, p bons
roncosl i i /
Des cap d'una estona, aquell ja fepa com que /
dormir ben arreu, p s'altre ja tornava: 14)
—jHala, Pere, si la m'espliques a mil jNo 'u El
diré a ningú: jt'ho prometl Ja s'es vist ben clar que J
x I
",NA
19,"20 RONDAYES MALLORQUINES
no s'hi pot posar amb tu sa fia del rep. jSi no hi
ha homo per tul jben bé que s'es vistl jVaja, es-
plicalem, tan amichs com soml jVajal

—La nit es per dormir, el dia per trebapar,
""tornava dir en Pere, p ja 'l teníem girat de s'altre
costat, p bons roncosi

Bé 'Í ponpiren, bé li borinetjaren a s'orega,
bé varen gremoletjar, però no li pogueren treure
sino que la nit era per dormir p el dia per trebapar.

—Senpor rep, digueren es criats lo'ndemú
dematí: ell no tenim res a n'es fus. jEs el reve-

dl rent dimonil jiHep perdrà amb ell tot quant hep
posaról

El rep no sabia per hont pendre ni que ferse, P
en Pere que s'hi presenta, p li diu:

—Senpor rep, pactes son pactes: sa seua fia
vup, la m'he guanyada, p cadascú que tenga lo
qu'es séu. 4No li he dita una endevinapa que no
ha sabuda desllatigar2

I —Sí, pero també es una casta d'endevinaça,
que no sé d'ont la t'has tretal ..

—La m'haja treta d'ont la m'haja treta, ha
bastat per capturar sa seua fia. 4 Es aXí o no es

axí2

—Es ver...

—Ydò que se cumplesquen ses dietes que Vos-
tra Real Magestatiha fetes.

El Rep se donú per perdut, crida sa seua fia p
tota la cort, p diu:
",NA
20,"EN PERE TÒRT 21
—Paraula de rep no pot mentir: vaig promete XL
sa fia a n'es qui li diria una endevinapa que no sa- A N se)
bés desllatigar. En Pere la hi ha dita, amb en Pere Ú /
s'ha de casar, pÇ n'hújam rallat prou. i S
Ningú gosó contradir, però s'alsú un gros rum — 4
rum. ba I
—jPobra tieta meual deya 1a reyna, tent sa lla- ——/ I
grimeta, — iPobra princesal depa tothom. Qui. —
la hi hagués hagut de dir, qu'havia de parar a-n l / I ,
axòl jAhont s'es vist map una fia de rep haverse I /
de casar amb un tòrtl J i
—jA poch a pochl va respondre aquí en Pere. J
iSi som tòrt, e-hu som per desgracia, per un cop
que vatx errarl
— gQue vol dir, per un cop que vares errar2
demanà'l rep.
—iQue vol dir per un cop2 demanava tothom.
—Jo vos ho contaré amb quatre paraules, (res-
pòn s'estornell), p voltros metexos ja direu llavò cs
si amb raó me poren dir una paraula perque me
falta un up. Ydò heu de creure p pensar V pensar p
creure que en es meu poble, qui més qui manco,
tothom es afectat de dols, P, per no fer tant de I
llapt, en lloch de pegar ú n'es sucre, que per alló 3
no se'n hi fa, p. l'han de comprar si'n volen, pé- si
guen a sa mel, que'n poren tenir a voler, si armen
un banch de bepes. Qui no pot armar un banch,
arma lo manco una caera, si es tota sola, la solen
tenir dins es corral, Mon pare, que Deu tenga, n'hi
T, H.—2,
",NA
21,"Ec EE de a da EEES ea OR co Na i P dr Dia i ct a DE EE de A
22 RONDAYES MALLORQUINES
tenia, però se va morir com jo no fepa s'alsada de
tres ous, V ses bepes s'aboliren. Tot d'una que
vaig esser atlotell, ma mare m'agafa, p me diu:—
l A veure si trobes cap exam, armarem bepes, que
també es massa sobrat no haver de tenir mel per
: sa despesa de la casa.—No tengueu ansia, (Vatx
dir jo): dexau que s'acost es Bril.—jEs Brill diu
ma mare. jCa, homo, no has de tenir tanta patxor-
— tal Sempre sentía a dir a ton pare, (en gloria sia
 p tots los morts) qu'a mitjan Mars ja comensava's
triquet d'examenar.—No res, (vatx dir jo), que
s'entrech en Mars, p dexau estar s'ansia per mí,
que, devota poreu esser vos de sa mel, però jo
no'm don per ningú. Arribà mitjan Mars, Y ja
som partit cada dia de bon sol, ja grandiet, cerca
qui cerca exams, perque lo que's diu aquests revet-
, lers no van d'alsarse Si no veuen bon solep. Jo'n
I trobava a balquena, però e-hi havia banch o cae-
ra devora: mirava si era vuptanta passes llunp, p
ses vuptanta map arribaven, P m'havia de pegar
un Cop a la barra, perque ja's sab: sa llep es que
s'exam posat a manco de vuptanta passes, de
baneh o caera, es de l'amo des banch o de sa cae-
ta, ara Si passen ses vuptanta passes, es des qui
primer el troba P l'axeca o hi dexa una senya. A
dafi en trob un, com sa cofa d'un capell, que no
tenia banch ni caera cent passes al redó. Deix se-
nya, me'n vatx de quatres a dur una caera, l'a-
xech, P Cap a cà-nostra, P ma mare ben contenta.
",NA
22,"EN PERE TÒRT 23 $
El pos dins es corral, Y ja es partit a trescar. Es
vepnats, envejosa qu'es sa gent p no poren sofrir I
qu'un úls xella, comensaren a dir: —/ ES/ jsa viu- A
da qu'ha posades bepesi jno n'hi mancava altre l
per maleriar es seu fipl jE-hi perdrà s'ase p ses X
magranesl —Sobre tot, los va caure tant tòrt, que I
se'n vénen un dia plegats, p mos diuen: — Heu po- i
sades bepes, p ara se meselaràn amb ses nostres, I
les mos desbarataràn, p el dimoni meteix no serà
capús de triarles, p es mancabs seràn nostros. Si
no les llevau abans de més raons, anam a donar
part cuantra voltros. —çAXò es totP vatx dir jo. —
éQue trobes que no bastaP respongueren ells, amb 4
uns ups que los espiretjaven.—Ell no hu paga es
parlarne. ç Teniu por de que se mesclen, p de lla-
VÒ no porerles triar2 No res, jo senyaré ses meues,
p es mal serà mort: Dit p fet, me 'n vatx a com-
prar un dobler d'aumúngara, la pòs dins un tést :
amb apgo, fas un sopasseret d'unes quantes cer- í
res, p lo'ndemú dematí, abans de sortir es Sol,
me plant devant sa caera amb so sopasser muvat :
amb una mà Ç es tést amb s'altra. Comensen a sor-
tir bepes, P, tantes com en sortien, los fepa una
creu de Sent Antoni demunt s'esquena. Justament i
en sortiren dues d'embolicades, P no més vatx po-
der senyar sa de demunt. Pitx derrera s'altra, amb :
So sopasseret mupat, per veure Si li arrib p li fas
sa creu, Y ella de d'allàl, Y jo derrera ella, Ç hala
qui hala per envant, p sa dimoniera que no des-
",NA
